country_survey_label,n_firms,green_adoption_rate,green_index_mean,credit_line_rate,fin_obstacle_mean
Egypt2020,3075,0.3030598958333333,0.08801695808531745,0.06480263157894736,1.1842452208305867
Türkiye2019,1663,0.34577723378212977,0.11083814186629364,0.3451053283767038,1.7157765500306936
Montenegro2019,150,0.38666666666666666,0.11674603174603175,0.5763888888888888,0.8163265306122449
Tunisia2020,615,0.39087947882736157,0.14528462850938423,0.4131534569983137,2.4207920792079207
Azerbaijan2019,225,0.4182692307692308,0.13272664835164832,0.17972350230414746,0.7136363636363636
West Bank And Gaza2019,365,0.42777777777777776,0.1403835978835979,0.17827298050139276,1.558011049723757
Romania2019,814,0.4375,0.17030952380952383,0.47375,1.553030303030303
Georgia2019,581,0.4413793103448276,0.14902709359605912,0.5008726003490401,1.1710296684118673
Lebanon2019,532,0.4520547945205479,0.16299040164010808,0.36466165413533835,1.836466165413534
Jordan2019,601,0.4709897610921502,0.19709084999187387,0.2476007677543186,1.427364864864865
Morocco2019,1096,0.4779299847792998,0.2139088207581358,0.2514851485148515,1.671259842519685
Russia2019,1323,0.503030303030303,0.1719570707070707,0.3096872616323417,1.2392307692307691
Italy2019,760,0.5059288537549407,0.2458999937260807,0.2304635761589404,1.2680555555555555
Kazakhstan2019,1446,0.5191761363636364,0.19087019751082251,0.2565003513703443,1.096938775510204
Tajikistan2019,352,0.5233918128654971,0.21887357282094122,0.1935483870967742,0.6141975308641975
Poland2019,1369,0.5692425401683244,0.19142529238168104,0.4027355623100304,1.2759398496240602
North Macedonia2019,360,0.5722222222222222,0.23253306878306879,0.5084745762711864,0.949438202247191
Bosnia and Herzegovina2019,362,0.5809248554913294,0.21999724745389485,0.5653409090909091,0.9630681818181818
Bulgaria2019,772,0.6036269430051814,0.2622748581297804,0.4666666666666667,0.6688741721854304
Kyrgyz Republic2019,360,0.6055555555555555,0.24368386243386242,0.2988826815642458,1.1536312849162011
Albania2019,377,0.6090425531914894,0.23929837892603847,0.4065040650406504,1.3567567567567567
Moldova2019,360,0.6194444444444445,0.2353505291005291,0.3277310924369748,1.4180790960451977
Mongolia2019,360,0.625,0.1777910052910053,0.49166666666666664,1.9220055710306407
Serbia2019,361,0.6537396121883656,0.21929824561403505,0.5854341736694678,0.6927374301675978
Belarus2018,600,0.6616666666666666,0.24966666666666665,0.42470389170896783,0.9646464646464646
Hungary2019,805,0.6732919254658385,0.2531469979296066,0.5368289637952559,0.33542713567839194
Lithuania2019,358,0.6778711484593838,0.23281979458450044,0.34173669467787116,0.7859154929577464
Armenia2020,546,0.6839186691312384,0.2690828272159141,0.4824399260628466,1.8703703703703705
Kosovo2019,271,0.6977611940298507,0.34405650319829423,0.4247104247104247,2.1531531531531534
Croatia2019,404,0.7083333333333334,0.2047052154195011,0.44801980198019803,0.5693069306930693
Ukraine2019,1337,0.7151424287856072,0.2686192617976726,0.244106463878327,2.2130131680867544
Czechia2019,502,0.7254098360655737,0.24302790788446527,0.5258964143426295,1.072289156626506
Estonia2019,360,0.7381615598885793,0.2795131980368749,0.41225626740947074,0.46153846153846156
Cyprus2019,240,0.7458333333333333,0.2762599206349206,0.7106382978723405,1.1446808510638298
Uzbekistan2019,1239,0.7506092607636068,0.335370005028819,0.24003254678600489,0.5693979933110368
Slovak Republic2019,429,0.7816901408450704,0.285261569416499,0.3855140186915888,0.9647887323943662
Slovenia2019,409,0.7930174563591023,0.30662629141432135,0.674074074074074,0.5753086419753086
Portugal2019,1062,0.8124410933081998,0.2997172478793591,0.6003787878787878,1.2317429406037002
Latvia2019,359,0.8240223463687151,0.35255387071029526,0.3855072463768116,0.8333333333333334
Greece2018,600,0.8251748251748252,0.3063061938061938,0.4991652754590985,1.5369127516778522
Malta2019,242,0.9008264462809917,0.35813656040928765,0.4791666666666667,0.7583333333333333
