,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-21,0.33717948717948687,0.1411107492276863,0.06060750086175848,0.6137514734972153,*
-20,-1.7738027794989777,1.2675340516455558,-4.2581238699024,0.7105183109044444,
-19,-0.05441415124959037,0.5539504913096174,-1.1401371634347086,1.0313088609355279,
-18,-1.7387154667124867,1.3212022393895873,-4.328224272209744,0.850793338784771,
-17,-0.2333609762138522,0.2607466062942559,-0.7444149336416387,0.27769298121393426,
-16,-0.6592208901678672,0.6561628252268296,-1.9452763956065033,0.6268346152707688,
-15,0.5877557614992662,0.4261904591919906,-0.24756218907162297,1.4230737120701553,
-14,-0.5138928432575461,0.3283472750907794,-1.1574416768573395,0.12965599034224706,
-13,-0.1847035775082272,0.216540060447404,-0.6091142971952653,0.23970714217881095,
-12,-0.6066890310743243,0.40748113360590854,-1.4053373773214588,0.1919593151728104,
-11,-0.49597792636188864,0.21067666373967703,-0.9088965996747111,-0.08305925304906614,*
-10,-0.1317238525052014,0.259009051544298,-0.6393722652019038,0.37592456019150106,
-9,-0.5570156493939555,0.25821347199983,-1.0631047548366641,-0.05092654395124696,*
-8,-0.3876581636140034,0.22451697123450753,-0.8277033411516534,0.0523870139236467,
-7,-0.6924883630361006,0.34514925448867184,-1.368968471124747,-0.01600825494745417,*
-6,-0.3492620345923395,0.28543311240071495,-0.9087006548929139,0.21017658570823483,
-5,-0.10700195856302842,0.2132270179791407,-0.5249192343330188,0.31091531720696197,
-4,-0.357408875499882,0.20348926384828506,-0.756240503883089,0.04142275288332514,
-3,-0.3331369408578301,0.21599855043756713,-0.75648632042832,0.09021243871265983,
-2,-0.6048483817918691,0.1885820071771138,-0.9744623239912861,-0.23523443959245205,*
-1,-0.5957744213353969,0.21359718445509787,-1.0144172100665474,-0.17713163260424641,*
0,-0.2730445965643546,0.2918946800955944,-0.8451476568305603,0.299058463701851,
1,-1.4374778962719883,1.3800554596469141,-4.14233689384781,1.2673811013038334,
2,-1.1535745639735042,0.4637582312642334,-2.062523994785399,-0.2446251331616095,*
3,0.17731788453907815,1.326476080859649,-2.4225274602996745,2.7771632293778303,
4,-1.6613531305081688,0.8570668535368569,-3.3411732957834737,0.01846703476713607,
5,-1.235435569808004,1.014268705965527,-3.2233657041464827,0.752494564530475,
6,-4.646508395681566,1.2432776899377043,-7.083287890741622,-2.209728900621509,*
7,-4.646925103101113,1.827849406200712,-8.229444108417432,-1.0644060977847936,*
8,-4.905574110967862,2.059361157042687,-8.941847809932263,-0.8693004120034615,*
9,-5.443707566701804,2.0603365872588877,-9.481893073759391,-1.405522059644217,*
10,11.756540880503142,7.7035615099211885,-3.342162231631386,26.855243992637668,
