country_survey_label,n_firms,sbfn_member,co2_monitor_rate,credit_rate
Afghanistan2025,426,0,0.20518867924528303,0.18779342723004694
Albania2025,365,1,0.0684931506849315,0.3085399449035813
Angola2024,430,1,0.07226107226107226,0.08624708624708624
Antigua and Barbuda2025,101,1,0.01020408163265306,0.3333333333333333
Argentina2026,797,1,0.1473951715374841,0.6030150753768844
Armenia2024,375,1,0.08310991957104558,0.4746666666666667
Australia2025,512,0,0.1437007874015748,0.646484375
Austria2025,601,0,0.3566666666666667,0.6839464882943144
Azerbaijan2024,368,1,0.4444444444444444,0.4329608938547486
Bahrain2024,150,0,0.2733333333333333,0.46
Bangladesh2022,998,1,0.5392156862745098,0.4316877152698048
Barbados2023,153,0,0.0457516339869281,0.28104575163398693
Belgium2025,598,0,0.26981450252951095,0.7470288624787776
Belize2025,148,0,0.12162162162162163,0.4863013698630137
Benin2024,364,0,0.20277777777777778,0.3901098901098901
Bhutan2024,155,0,0.07741935483870968,0.551948051948052
Bolivia2025,610,0,0.21782178217821782,0.5279605263157895
Bosnia and Herzegovina2023,351,0,0.06552706552706553,0.5243553008595988
Botswana2023,622,0,0.13848631239935588,0.265139116202946
Brazil2025,1531,1,0.1576158940397351,0.5711462450592886
Brunei Darussalam2025,150,0,0.05333333333333334,0.352112676056338
Bulgaria2023,710,0,0.06930693069306931,0.4065155807365439
BurkinaFaso2024,380,0,0.10263157894736842,0.3263157894736842
Burundi2025,161,0,0.13664596273291926,0.33962264150943394
Cabo Verde2024,163,0,0.1411042944785276,0.15337423312883436
Cambodia2023,519,1,0.3988439306358382,0.13680154142581888
Cameroon2024,615,1,0.08688524590163935,0.5553745928338762
Canada2024,1015,0,0.2345309381237525,0.5284640171858217
Central African Republic2023,151,1,0.2191780821917808,0.06293706293706294
Chad2023,164,1,0.07317073170731707,0.11585365853658537
Chile2025,1000,1,0.10120240480961924,0.8318227593152064
China2024,2189,1,0.2531884742560227,0.3898223715794527
Colombia2023,919,1,0.17595628415300546,0.5267175572519084
Comoros2025,153,0,0.05228758169934641,0.35947712418300654
Congo2024,365,1,0.19667590027700832,0.2443820224719101
Costa Rica2023,357,1,0.21568627450980393,0.5302593659942363
Croatia2023,474,0,0.24893617021276596,0.4915254237288136
Cyprus2024,246,0,0.11788617886178862,0.5528455284552846
Czechia2025,446,0,0.2786516853932584,0.4954545454545455
C̫te d'Ivoire2023,649,0,0.2643856920684292,0.22535211267605634
DRC2024,1025,0,0.14579256360078277,0.09198813056379822
Denmark2025,822,0,0.46764346764346765,0.7518518518518519
Djibouti2025,153,0,0.39215686274509803,0.23026315789473684
Dominican Republic2025,345,1,0.14583333333333334,0.6047197640117994
Ecuador2024,345,1,0.239067055393586,0.663768115942029
Egypt2025,1024,1,0.007820136852394917,0.11857707509881422
ElSalvador2023,729,0,0.07670850767085077,0.6138613861386139
Equatorial Guinea2024,173,1,0.023391812865497075,0.13872832369942195
Estonia2023,351,0,0.29914529914529914,0.3514285714285714
Eswatini2024,156,0,0.2709677419354839,0.15789473684210525
Ethiopia2025,1011,0,0.14836795252225518,0.2728174603174603
Federal Republic of Somalia2025,241,0,0.23651452282157676,0.11203319502074689
Fiji2025,151,1,0.15894039735099338,0.5337837837837838
Finland2025,602,0,0.41430948419301167,0.6996644295302014
France2025,1014,0,0.37190900098911966,0.7757757757757757
Gabon2025,151,1,0.3873239436619718,0.3829787234042553
Gambia2023,162,0,0.07407407407407407,0.1419753086419753
Georgia2023,592,1,0.2483108108108108,0.5709459459459459
Germany2025,1963,0,0.4039938556067588,0.7776065742167437
Ghana2023,713,1,0.13486370157819225,0.20833333333333334
Greece2023,598,0,0.15384615384615385,0.5183946488294314
Grenada2025,115,1,0.1826086956521739,0.39285714285714285
Guatemala2025,183,1,0.19101123595505617,0.6871508379888268
Guinea-Bissau2025,153,0,0.013157894736842105,0.1503267973856209
Guinea2025,160,0,0.1625,0.0375
Hong Kong SAR China2023,598,0,0.07653061224489796,0.1536697247706422
Hungary2023,831,0,0.16125150421179302,0.6767189384800965
Iceland2024,361,0,0.26038781163434904,0.5515320334261838
India2025,10479,1,0.29428053088895256,0.3445049174066648
Indonesia2023,2955,1,0.09735146743020759,
Ireland2024,609,0,0.171900826446281,0.44170771756978655
