,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-21,3.331779713156619,2.1468906483654826,-0.8760486363855726,7.539608062698811,
-20,-1.5822151744423425,1.0796646711294402,-3.6983190452363273,0.5338886963516423,
-19,-0.034872894553224676,0.5993361794650568,-1.2095502209365703,1.139804431830121,
-18,-0.9276123682172351,1.1259990811033203,-3.1345300138049383,1.2793052773704678,
-17,-0.1447298288548134,0.5290936697022944,-1.1817343659194417,0.892274708209815,
-16,-0.6251145021346394,0.8375926710002046,-2.2667659710097467,1.0165369667404682,
-15,0.3798020581199426,0.6820789631987914,-0.9570481443621093,1.7166522606019945,
-14,-0.5290045913732238,0.374391200392857,-1.2627978602719416,0.20478867752549412,
-13,-3.799851974201074e-05,0.3024031939615691,-0.5927373674942977,0.5926613704548138,
-12,-0.6910188610870202,0.47657485998924953,-1.6250884226031679,0.2430507004291277,
-11,-0.13512855772959265,0.282379589168554,-0.6885823824691752,0.41832526700998995,
-10,0.40998095582573396,0.2873276977876565,-0.15317098359888176,0.9731328952503497,
-9,-0.6237673341784173,0.3393830174375463,-1.2889458253205373,0.04141115696370257,
-8,-0.08439645284654516,0.26183670859694175,-0.5975869715270602,0.42879406583396984,
-7,-0.5289349176776772,0.3663291646666324,-1.2469268869109196,0.18905705155556518,
-6,-0.07509258278195623,0.3041730168908879,-0.67126074095699,0.5210755753930776,
-5,0.40625276007702077,0.266536533882534,-0.11614924689688572,0.9286547670509273,
-4,0.05569378905798695,0.26176652914764353,-0.4573591804294487,0.5687467585454226,
-3,0.12727716380465237,0.2661459876992705,-0.3943593867157581,0.6489137143250628,
-2,-0.3372369632394785,0.2403475198961967,-0.8083094460095481,0.13383551953059114,
-1,-0.9083503869247019,0.5031318435401395,-1.8944706797386168,0.07776990588921295,
0,0.5614874424628871,0.3974026218491854,-0.2174073837233067,1.3403822686490807,
1,1.4932764387265798,0.8746782408626917,-0.22106141142514657,3.207614288878306,
2,0.1024988057806869,0.5999614297718429,-1.0734039886852822,1.2784016002466558,
3,0.09244385778562299,0.7879154094702399,-1.4518419676401766,1.6367296832114226,
4,-0.08907479850290162,0.9425418118004087,-1.9364228035548325,1.7582732065490292,
5,0.3289644434183492,1.2055778635712702,-2.033924749740083,2.6918536365767816,
6,-1.4835956433616122,1.7716869103490165,-4.956038179526728,1.9888468928035037,
7,-0.906104307617855,2.6183310419529433,-6.037938849448857,4.225730234213147,
8,-2.0726213950418058,2.649145397813024,-7.264850964565367,3.119608174481756,
9,-1.6527003467165138,3.2993389286192545,-8.11928581960122,4.813885126168193,
10,16.912477279948227,7.920023245550471,1.3895169619492744,32.43543759794718,*
