size_cat,n,cate,ci_low,ci_high
Small,11289,0.07974321136157819,-0.04094112250243047,0.2004275452255868
Medium,7601,0.07467808110220438,-0.034403966176848044,0.18376012838125677
Large,5024,0.05685650898660223,-0.042776383304648516,0.15648940127785294
