country_survey_label,n,co2_monitor_rate,waste_min_rate,overdraft_rate,sbfn_member
Bangladesh2022,998,0.5392156862745098,,0.123094958968347,1
India2022,9376,,0.5149091739974866,0.6206638115631692,1
Indonesia2023,2955,0.09735146743020759,0.3362410785091198,0.1444130697862041,1
Peru2023,987,0.21881390593047034,0.8062880324543611,0.5485188968335035,1
Philippines2023,1002,0.2565922920892495,,0.1652542372881356,1
Timor-Leste2021,238,0.02100840336134454,0.06140350877192982,0.08860759493670886,0
