country_survey_label,n_firms,survey_year,sbfn_member,wgi_regulatory_quality,green_adoption_rate,credit_line_rate
Albania2019,377,2019.0,0,0.0917374,0.6090425531914894,0.4065040650406504
Armenia2020,546,2020.0,0,0.2080999,0.6839186691312384,0.4824399260628466
Azerbaijan2019,225,2019.0,0,-0.1045151,0.4182692307692308,0.17972350230414746
Belarus2018,600,2018.0,0,-0.7883245,0.6616666666666666,0.42470389170896783
Bosnia and Herzegovina2019,362,2019.0,0,-0.3767077,0.5809248554913294,0.5653409090909091
Bulgaria2019,772,2019.0,0,0.4580563,0.6036269430051814,0.4666666666666667
Croatia2019,404,2019.0,0,0.38478,0.7083333333333334,0.44801980198019803
Cyprus2019,240,2019.0,0,1.0395499,0.7458333333333333,0.7106382978723405
Czechia2019,502,2019.0,0,1.1215213,0.7254098360655737,0.5258964143426295
Egypt2020,3075,2019.0,1,-0.6355909,0.3030598958333333,0.06480263157894736
Estonia2019,360,2019.0,0,1.5431575,0.7381615598885793,0.41225626740947074
Georgia2019,581,2019.0,1,0.8781482,0.4413793103448276,0.5008726003490401
Greece2018,600,2019.0,0,0.2867976,0.8251748251748252,0.4991652754590985
Hungary2019,805,2019.0,0,0.4598348,0.6732919254658385,0.5368289637952559
Italy2019,760,2019.0,0,0.7011105,0.5059288537549407,0.2304635761589404
Jordan2019,601,2019.0,1,0.159713,0.4709897610921502,0.2476007677543186
Kazakhstan2019,1446,2019.0,0,0.112725,0.5191761363636364,0.2565003513703443
Kosovo2019,271,2019.0,0,-0.3751079,0.6977611940298507,0.4247104247104247
Kyrgyz Republic2019,360,2019.0,1,-0.4211895,0.6055555555555555,0.2988826815642458
Latvia2019,359,2019.0,0,1.0030074,0.8240223463687151,0.3855072463768116
Lebanon2019,532,2019.0,0,-0.5611682,0.4520547945205479,0.36466165413533835
Lithuania2019,358,2019.0,0,0.9756202,0.6778711484593838,0.34173669467787116
Malta2019,242,2019.0,0,0.8271849,0.9008264462809917,0.4791666666666667
Moldova2019,360,2019.0,0,-0.113272799999999,0.6194444444444445,0.3277310924369748
Mongolia2019,360,2019.0,1,-0.0663774999999999,0.625,0.49166666666666664
Montenegro2019,150,2019.0,0,0.2943513,0.38666666666666666,0.5763888888888888
Morocco2019,1096,2019.0,1,0.0271992,0.4779299847792998,0.2514851485148515
North Macedonia2019,360,2019.0,0,0.192812,0.5722222222222222,0.5084745762711864
Poland2019,1369,2019.0,0,0.8277446,0.5692425401683244,0.4027355623100304
Portugal2019,1062,2019.0,0,0.9999205,0.8124410933081998,0.6003787878787878
Romania2019,814,2019.0,0,0.3572005,0.4375,0.47375
Russia2019,1323,2019.0,0,-0.3542324,0.503030303030303,0.3096872616323417
Serbia2019,361,2019.0,0,0.064278,0.6537396121883656,0.5854341736694678
Slovak Republic2019,429,2019.0,0,0.7272442,0.7816901408450704,0.3855140186915888
Slovenia2019,409,2019.0,0,0.8847728,0.7930174563591023,0.674074074074074
Tajikistan2019,352,2019.0,0,-0.800882299999999,0.5233918128654971,0.1935483870967742
Tunisia2020,615,2020.0,1,-0.1095893,0.39087947882736157,0.4131534569983137
Türkiye2019,1663,2019.0,1,-0.0157501,0.34577723378212977,0.3451053283767038
Ukraine2019,1337,2019.0,0,-0.2900464,0.7151424287856072,0.244106463878327
Uzbekistan2019,1239,2019.0,0,-0.9215511,0.7506092607636068,0.24003254678600489
West Bank And Gaza2019,365,2019.0,0,-0.1491287,0.42777777777777776,0.17827298050139276
