,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-21,3.3918382736556945,2.2197366754425234,-0.9587656653743268,7.742442212685716,
-20,-1.5306236100949404,1.117221541156681,-3.720337593514369,0.6590903733244879,
-19,-0.014907337197597681,0.5954295346815042,-1.1819277805047887,1.1521131061095935,
-18,-0.8994022793344962,1.1164640976673883,-3.087631700794587,1.2888271421255943,
-17,-0.08081795518058932,0.551122561292341,-1.1609983263810464,0.9993624160198676,
-16,-0.24452759150591816,0.8057774814660917,-1.8238224347328489,1.3347672517210125,
-15,0.43410765958825076,0.686223576000315,-0.9108658347146514,1.7790811538911528,
-14,-0.4626380044363317,0.3753576175288102,-1.19832541611556,0.2730494072428968,
-13,0.006208967249011488,0.2950772762824698,-0.5721318669208044,0.5845498014188275,
-12,-0.659066263699043,0.4881946381929035,-1.615910172002696,0.2977776446046102,
-11,-0.09585872089959628,0.27506075562440857,-0.6349678954838102,0.44325045368461763,
-10,0.48929127192139515,0.28472418367526164,-0.06875787360968483,1.0473404174524752,
-9,-0.7212025283155066,0.3441916256513376,-1.3958057183724208,-0.046599338258592304,*
-8,-0.1058377192875698,0.25974023641148763,-0.6149192279900048,0.40324378941486516,
-7,-0.5093493558956478,0.3693350568905849,-1.233232765629246,0.21453405383795054,
-6,-0.08885921263495389,0.3022864467434002,-0.6813297612666034,0.5036113359966956,
-5,0.43018003775627284,0.2626217747407039,-0.08454918229149772,0.9449092578040434,
-4,0.034177736354007504,0.2584180654503924,-0.47231236488327605,0.540667837591291,
-3,0.140040621190754,0.26434644235348326,-0.3780688852633668,0.6581501276448748,
-2,-0.3314497976468306,0.2294957785932299,-0.7812532582935394,0.11835366299987832,
-1,-0.9822553135676592,0.49911165732432106,-1.9604961861874255,-0.004014440947892828,*
0,0.6003414130999729,0.40620028553452875,-0.19579651705758971,1.3964793432575355,
1,1.4415979009358972,0.8972642012906177,-0.3170076182108108,3.2002034200826053,
2,-0.08211590675393594,0.5838711086845114,-1.2264822513890499,1.0622504378811781,
3,-0.025391266077126773,0.7807059361458001,-1.555546783439522,1.5047642512852686,
4,-0.050042911196245946,0.9275170779869347,-1.8679429790964666,1.7678571567039747,
5,0.3572614157518451,1.1914933063782638,-1.9780225525701,2.6925453840737905,
6,-1.4764592317803498,1.7605098858946402,-4.926995202560565,1.974076738999865,
7,-0.9264101655533449,2.604206657705485,-6.030561422955524,4.1777410918488345,
8,-1.9252659065557345,2.639089543685526,-7.097786364155612,3.247254551044142,
9,-1.5497136840159322,3.2936661809584455,-8.00518077579207,4.905753407760205,
10,16.912477279948227,7.920023245550471,1.3895169619492744,32.43543759794718,*
