iso3,year,gdppc
AFE,2024,1432.50843496815
AFE,2023,1428.54623843676
AFE,2022,1437.09139374966
AFE,2021,1422.65546311873
AFE,2020,1398.57793000832
AFE,2019,1480.22900239543
AFE,2018,1492.18670204384
AFE,2017,1493.1423907296
AFE,2016,1493.11936575691
AFE,2015,1498.71597073834
AFE,2014,1495.79844862987
AFE,2013,1478.87995623663
AFE,2012,1452.76568595828
AFE,2011,1464.88611192938
AFE,2010,1449.78072652181
AFE,2009,1414.50548927128
AFE,2008,1440.52144510506
AFE,2007,1417.37331385996
AFE,2006,1364.58002599767
AFE,2005,1314.2677841971
AFE,2004,1271.19569954919
AFE,2003,1235.59805226329
AFE,2002,1231.33260616804
AFE,2001,1216.22788108397
AFE,2000,1205.87666437284
AFW,2024,1820.07044608507
AFW,2023,1782.32607004266
AFW,2022,1761.05945140847
AFW,2021,1725.17121673839
AFW,2020,1722.44898220443
AFW,2019,1832.1636948549
AFW,2018,1817.65066402569
AFW,2017,1811.55471646765
AFW,2016,1817.66095620629
AFW,2015,1863.40151301991
AFW,2014,1859.65082949513
AFW,2013,1808.05542437383
AFW,2012,1752.04877339883
AFW,2011,1713.47507358227
AFW,2010,1679.8619541977
AFW,2009,1614.44023110383
AFW,2008,1564.2103448338
AFW,2007,1515.04513261704
AFW,2006,1477.96252664219
AFW,2005,1443.9895720102
AFW,2004,1404.15452106467
AFW,2003,1336.53509360063
AFW,2002,1301.45284845521
AFW,2001,1217.48637912529
AFW,2000,1189.60989480741
ARB,2024,6311.25329101256
ARB,2023,6322.02558331114
ARB,2022,6361.38084442534
ARB,2021,6083.57198947026
ARB,2020,5914.3140803644
ARB,2019,6377.12720480427
ARB,2018,6386.55005729143
ARB,2017,6332.00881888743
ARB,2016,6375.45441645456
ARB,2015,6299.87807685552
ARB,2014,6247.36371197299
ARB,2013,6234.27485821589
ARB,2012,6235.42337538268
ARB,2011,6054.00045574247
ARB,2010,5965.71571721365
ARB,2009,5810.71141659136
ARB,2008,5915.86136125116
ARB,2007,5746.68567268712
ARB,2006,5632.36344117714
ARB,2005,5427.84243278416
ARB,2004,5264.51546177734
ARB,2003,4939.55134024018
ARB,2002,4853.12978171597
ARB,2001,4907.21186577842
ARB,2000,4922.11520199761
CSS,2024,18643.3738062746
CSS,2023,16520.5066629775
CSS,2022,15259.8516050593
CSS,2021,13353.2168994617
CSS,2020,12507.6012734005
CSS,2019,13836.1810586697
CSS,2018,13827.9207659533
CSS,2017,13778.886010068
CSS,2016,13962.4303282906
CSS,2015,14497.8798625347
CSS,2014,14600.729767324
CSS,2013,14327.5751136155
CSS,2012,14203.8255539522
CSS,2011,13731.3218758813
CSS,2010,13697.4264360568
CSS,2009,13623.5304132425
CSS,2008,14177.6922464874
CSS,2007,14030.0505594073
CSS,2006,13597.1381777631
CSS,2005,12683.3255233013
CSS,2004,12056.9139473837
CSS,2003,11605.4238812576
CSS,2002,11027.3598401094
CSS,2001,10690.3702191644
CSS,2000,10553.7062607061
CEB,2024,16862.8261090388
CEB,2023,16496.6728779092
CEB,2022,16396.9966397292
CEB,2021,15739.2441317825
CEB,2020,14621.1740246993
CEB,2019,15024.0494908704
CEB,2018,14412.0115452533
CEB,2017,13696.4931794299
CEB,2016,12991.5742193095
CEB,2015,12596.9151136003
CEB,2014,12076.1823856167
CEB,2013,11662.0107342389
CEB,2012,11544.5713277541
CEB,2011,11421.7596519166
CEB,2010,10998.682371605
CEB,2009,10792.858773343
CEB,2008,11177.0146731334
CEB,2007,10712.5851582186
CEB,2006,10036.5097725823
CEB,2005,9387.61745605104
CEB,2004,8923.8782160842
CEB,2003,8405.64953510181
CEB,2002,8057.23910139445
CEB,2001,7730.97137256735
CEB,2000,7450.88371486209
EAR,2024,3884.38931770884
EAR,2023,3783.31364991383
EAR,2022,3676.37654127034
EAR,2021,3506.50286307281
