country_survey_label,iso3,survey_year,wgi_regulatory_quality,wgi_regulatory_quality_year_used,wgi_government_effectiveness,wgi_government_effectiveness_year_used
Afghanistan2025,AFG,2025,-1.538435,2024,-1.9339966,2024
Albania2025,ALB,2025,0.1357347,2024,0.3123437,2024
Angola2024,AGO,2024,-0.773019999999999,2024,-0.785190899999999,2024
Antigua and Barbuda2025,ATG,2025,0.6346032,2024,0.4299698,2024
Argentina2026,ARG,2026,-0.235025999999999,2024,0.1837479,2024
Armenia2024,ARM,2024,0.137992,2024,-0.3640294,2024
Australia2025,AUS,2025,1.7223205,2024,1.8090452,2024
Austria2025,AUT,2025,1.3510615,2024,1.5145106,2024
Azerbaijan2024,AZE,2024,0.1348932,2024,0.1661183,2024
Bahrain2024,BHR,2024,0.9502434,2024,0.6002525,2024
Barbados2023,BRB,2023,0.429255,2023,0.6052291,2023
Belgium2025,BEL,2025,1.2435483,2024,1.1947395,2024
Belize2025,BLZ,2025,-0.450078,2024,-0.129095,2024
Benin2024,BEN,2024,-0.277262399999999,2024,-0.1854211,2024
Bhutan2024,BTN,2024,-0.0912943,2024,0.5808357,2024
Bolivia2025,BOL,2025,-1.2544304,2024,-0.6104172,2024
Bosnia and Herzegovina2023,BIH,2023,-0.3476707,2023,-0.6453703,2023
Botswana2023,BWA,2023,0.446548,2023,0.5409963,2023
Brazil2025,BRA,2025,-0.2945386,2024,-0.224002999999999,2024
Brunei Darussalam2025,BRN,2025,0.8869612,2024,0.8351988,2024
Bulgaria2023,BGR,2023,0.351784,2023,0.1061571,2023
BurkinaFaso2024,BFA,2024,-0.5255615,2024,-0.8748674,2024
Burundi2025,BDI,2025,-0.8138576,2024,-1.0060869,2024
Cabo Verde2024,CPV,2024,0.0451434,2024,0.4151952,2024
Cambodia2023,KHM,2023,-0.676237299999999,2023,-0.4160661,2023
Cameroon2024,CMR,2024,-0.728671499999999,2024,-0.800788699999999,2024
Canada2024,CAN,2024,1.3622118,2024,1.7591249,2024
Central African Republic2023,CAF,2023,-1.3283436,2023,-1.5707645,2023
Chad2023,TCD,2023,-1.083941,2023,-1.2154601,2023
Chile2025,CHL,2025,0.7807061,2024,0.964461,2024
China2024,CHN,2024,-0.0712903,2024,0.8957842,2024
Colombia2023,COL,2023,0.1365735,2023,-0.0421246,2023
Comoros2025,COM,2025,-1.2486088,2024,-1.2085975,2024
Congo2024,COG,2024,-1.1515624,2024,-1.110638,2024
Costa Rica2023,CRI,2023,0.5745299,2023,0.3340948,2023
Croatia2023,HRV,2023,0.4438308,2023,0.7487411,2023
Cyprus2024,CYP,2024,0.7395817,2024,0.8696373,2024
Czechia2025,CZE,2025,1.2319075,2024,1.1773279,2024
C̫te d'Ivoire2023,CIV,2023,-0.1888771,2023,-0.3185096,2023
DRC2024,COD,2024,-1.2848458,2024,-1.6934449,2024
Denmark2025,DNK,2025,1.9307059,2024,1.9128986,2024
Djibouti2025,DJI,2025,-0.852795899999999,2024,-0.4930443,2024
Dominican Republic2025,DOM,2025,0.207328,2024,0.0746487,2024
Ecuador2024,ECU,2024,-0.6464312,2024,-0.2196127,2024
Egypt2025,EGY,2025,-0.499469399999999,2024,-0.0970579,2024
ElSalvador2023,SLV,2023,-0.3189964,2023,-0.0947816,2023
Equatorial Guinea2024,GNQ,2024,-1.3990487,2024,-1.1825117,2024
Estonia2023,EST,2023,1.4519904,2023,1.2678954,2023
Eswatini2024,SWZ,2024,-0.6380015,2024,-0.7811414,2024
Ethiopia2025,ETH,2025,-0.8332379,2024,-0.645991,2024
Federal Republic of Somalia2025,SOM,2025,-1.72760539999999,2024,-1.95005229999999,2024
Fiji2025,FJI,2025,0.0650821999999999,2024,0.6089609,2024
Finland2025,FIN,2025,1.9635191,2024,1.8171611,2024
France2025,FRA,2025,1.1461527,2024,1.2007009,2024
Gabon2025,GAB,2025,-0.723457799999999,2024,-0.5671547,2024
Gambia2023,GMB,2023,-0.63169,2023,-0.4683483,2023
Georgia2023,GEO,2023,0.8085223,2023,0.5876041,2023
Germany2025,DEU,2025,1.4980615,2024,1.5462994,2024
Ghana2023,GHA,2023,-0.159406,2023,-0.0177779,2023
Greece2023,GRC,2023,0.5145808,2023,0.2578486,2023
Grenada2025,GRD,2025,0.0498844,2024,0.0201444,2024
Guatemala2025,GTM,2025,-0.3094252,2024,-0.9093696,2024
Guinea-Bissau2025,GNB,2025,-1.1903185,2024,-1.3676142,2024
Guinea2025,GIN,2025,-0.8917271,2024,-0.8881627,2024
Hong Kong SAR China2023,HKG,2023,1.7308843,2023,1.5374202,2023
Hungary2023,HUN,2023,0.2375182,2023,0.5461907,2023
Iceland2024,ISL,2024,1.3302839,2024,1.645973,2024
India2025,IND,2025,-0.0960695999999999,2024,0.4046051,2024
Ireland2024,IRL,2024,1.7944361,2024,1.6115533,2024
Israel2024,ISR,2024,1.1138772,2024,1.1726244,2024
Italy2024,ITA,2024,0.6401491,2024,0.7922891,2024
Jamaica2024,JAM,2024,0.0908785,2024,0.1712622,2024
Japan2025,JPN,2025,1.3296352,2024,2.0879101,2024
Jordan2024,JOR,2024,0.2760104,2024,0.2162114,2024
Kazakhstan2024,KAZ,2024,0.0470549,2024,0.1467641,2024
Kenya2025,KEN,2025,-0.3335684,2024,-0.2978904,2024
Kiribati2025,KIR,2025,-0.5014363,2024,-0.4343103,2024
Korea Republic2024,KOR,2024,1.013674,2024,1.4867237,2024
Kosovo2025,XKX,2025,-0.2229473,2024,-0.0612949999999999,2024
Kuwait2025,KWT,2025,0.4035133,2024,0.3278963,2024
