country_survey_label,country_name,survey_year,iso3
Afghanistan2025,Afghanistan,2025,AFG
Albania2025,Albania,2025,ALB
Angola2024,Angola,2024,AGO
Antigua and Barbuda2025,Antigua and Barbuda,2025,ATG
Argentina2026,Argentina,2026,ARG
Armenia2024,Armenia,2024,ARM
Australia2025,Australia,2025,AUS
Austria2025,Austria,2025,AUT
Azerbaijan2024,Azerbaijan,2024,AZE
Bahrain2024,Bahrain,2024,BHR
Barbados2023,Barbados,2023,BRB
Belgium2025,Belgium,2025,BEL
Belize2025,Belize,2025,BLZ
Benin2024,Benin,2024,BEN
Bhutan2024,Bhutan,2024,BTN
Bolivia2025,Bolivia,2025,BOL
Bosnia and Herzegovina2023,Bosnia and Herzegovina,2023,BIH
Botswana2023,Botswana,2023,BWA
Brazil2025,Brazil,2025,BRA
Brunei Darussalam2025,Brunei Darussalam,2025,BRN
Bulgaria2023,Bulgaria,2023,BGR
BurkinaFaso2024,Burkina Faso,2024,BFA
Burundi2025,Burundi,2025,BDI
Cabo Verde2024,Cabo Verde,2024,CPV
Cambodia2023,Cambodia,2023,KHM
Cameroon2024,Cameroon,2024,CMR
Canada2024,Canada,2024,CAN
Central African Republic2023,Central African Republic,2023,CAF
Chad2023,Chad,2023,TCD
Chile2025,Chile,2025,CHL
China2024,China,2024,CHN
Colombia2023,Colombia,2023,COL
Comoros2025,Comoros,2025,COM
Congo2024,Congo,2024,COG
Costa Rica2023,Costa Rica,2023,CRI
Croatia2023,Croatia,2023,HRV
Cyprus2024,Cyprus,2024,CYP
Czechia2025,Czechia,2025,CZE
C̫te d'Ivoire2023,Cote d'Ivoire,2023,CIV
DRC2024,DRC,2024,COD
Denmark2025,Denmark,2025,DNK
Djibouti2025,Djibouti,2025,DJI
Dominican Republic2025,Dominican Republic,2025,DOM
Ecuador2024,Ecuador,2024,ECU
Egypt2025,Egypt,2025,EGY
ElSalvador2023,El Salvador,2023,SLV
Equatorial Guinea2024,Equatorial Guinea,2024,GNQ
Estonia2023,Estonia,2023,EST
Eswatini2024,Eswatini,2024,SWZ
Ethiopia2025,Ethiopia,2025,ETH
Federal Republic of Somalia2025,Federal Republic of Somalia,2025,SOM
Fiji2025,Fiji,2025,FJI
Finland2025,Finland,2025,FIN
France2025,France,2025,FRA
Gabon2025,Gabon,2025,GAB
Gambia2023,Gambia,2023,GMB
Georgia2023,Georgia,2023,GEO
